HGNC,ENTREZ_ID,OMIM_ID,ENSEMBL_ID,ENSP,ASD
DOCK2,1794,603122,ENSG00000134516,ENSP00000256935,0
EMP1,2012,602333,ENSG00000134531,ENSP00000256951,0
RERG,85004,612664,ENSG00000134533,ENSP00000256953,0
SLCO1B1,10599,604843,ENSG00000134538,ENSP00000256958,0
DDB2,1643,600811,ENSG00000134574,ENSP00000256996,0
ACP2,53,171650,ENSG00000134575,ENSP00000256997,0
FOLH1,2346,600934,ENSG00000086205,ENSP00000256999,1
RAB33A,9363,300333,ENSG00000134594,ENSP00000257017,0
MTNR1B,4544,600804,ENSG00000134640,ENSP00000257068,0
PHC2,1912,602979,ENSG00000134686,ENSP00000257118,0
PRPF38A,84950,617031,ENSG00000134748,ENSP00000257181,0
DSG3,1830,169615,ENSG00000134757,ENSP00000257189,0
DSG1,1828,125670,ENSG00000134760,ENSP00000257192,0
DSC1,1823,125643,ENSG00000134765,ENSP00000257198,0
DAGLA,747,614015,ENSG00000134780,ENSP00000257215,1
TIMM10,26519,602251,ENSG00000134809,ENSP00000257245,0
TCN1,6947,189905,ENSG00000134827,ENSP00000257264,0
CEP135,9662,611423,ENSG00000174799,ENSP00000257287,1
PDGFRA,5156,173490,ENSG00000134853,ENSP00000257290,0
DZIP1,22873,608671,ENSG00000134874,ENSP00000257312,0
CARS2,79587,612800,ENSG00000134905,ENSP00000257347,0
ADAMTS8,11095,605175,ENSG00000134917,ENSP00000257359,0
KLB,152831,611135,ENSG00000134962,ENSP00000257408,0
SEMA6A,57556,605885,ENSG00000092421,ENSP00000257414,0
APC,324,611731,ENSG00000134982,ENSP00000257430,1
FAM189A2,9413,607710,ENSG00000135063,ENSP00000257515,0
ADAM19,8728,603640,ENSG00000135074,ENSP00000257527,0
USP30,84749,612492,ENSG00000135093,ENSP00000257548,0
SDS,10993,182128,ENSG00000135094,ENSP00000257549,0
MSI1,4440,603328,ENSG00000135097,ENSP00000257552,0
HNF1A,6927,142410,ENSG00000135100,ENSP00000257555,0
TBX3,6926,601621,ENSG00000135111,ENSP00000257566,0
OASL,8638,603281,ENSG00000135114,ENSP00000257570,0
HRK,8739,603447,ENSG00000135116,ENSP00000257572,0
DTX1,1840,602582,ENSG00000135144,ENSP00000257600,0
TRAFD1,10906,613197,ENSG00000135148,ENSP00000257604,0
GSAP,54103,613552,ENSG00000186088,ENSP00000257626,0
UPK3B,105375355,611887,ENSG00000243566,ENSP00000257632,0
HILPDA,29923,617905,ENSG00000135245,ENSP00000257696,0
RINT1,60561,610089,ENSG00000135249,ENSP00000257700,0
BACH2,60468,605394,ENSG00000112182,ENSP00000257749,0
NT5E,4907,129190,ENSG00000135318,ENSP00000257770,0
MRAP2,112609,615410,ENSG00000135324,ENSP00000257776,0
AKIRIN2,55122,615165,ENSG00000135334,ENSP00000257787,0
ORC3,23595,604972,ENSG00000135336,ENSP00000257789,0
LMO2,4005,180385,ENSG00000135363,ENSP00000257818,0
NAT10,55226,609221,ENSG00000135372,ENSP00000257829,0
PRRG4,79056,611690,ENSG00000135378,ENSP00000257836,0
PRPH,5630,170710,ENSG00000135406,ENSP00000257860,0
AVIL,10677,613397,ENSG00000135407,ENSP00000257861,0
AMHR2,269,600956,ENSG00000135409,ENSP00000257863,0
LACRT,90070,607360,ENSG00000135413,ENSP00000257867,0
GDF11,10220,603936,ENSG00000135414,ENSP00000257868,0
RDH5,5959,601617,ENSG00000135437,ENSP00000257895,0
KRT85,3891,602767,ENSG00000135443,ENSP00000257901,0
CDK4,1019,123829,ENSG00000135446,ENSP00000257904,0
PPP1R1A,5502,613246,ENSG00000135447,ENSP00000257905,0
TROAP,10024,603872,ENSG00000135451,ENSP00000257909,0
TSPAN31,6302,181035,ENSG00000135452,ENSP00000257910,0
TFCP2,7024,189889,ENSG00000135457,ENSP00000257915,0
ESPL1,9700,604143,ENSG00000135476,ENSP00000257934,0
KRT84,3890,602766,ENSG00000161849,ENSP00000257951,0
KRT82,3888,601078,ENSG00000161850,ENSP00000257974,0
MIP,4284,154050,ENSG00000135517,ENSP00000257979,0
KCNH3,23416,604527,ENSG00000135519,ENSP00000257981,0
TAAR5,9038,607405,ENSG00000135569,ENSP00000258034,0
NMBR,4829,162341,ENSG00000135577,ENSP00000258042,0
SMPD2,6610,603498,ENSG00000135587,ENSP00000258052,0
HTRA2,27429,606441,ENSG00000115317,ENSP00000258080,0
CCT7,10574,605140,ENSG00000135624,ENSP00000258091,0
RAB11FIP5,26056,605536,ENSG00000135631,ENSP00000258098,1
MRPL53,116540,611857,ENSG00000204822,ENSP00000258105,0
EMX1,2016,600034,ENSG00000135638,ENSP00000258106,0
KCNMB4,27345,605223,ENSG00000135643,ENSP00000258111,0
GNS,2799,607664,ENSG00000135677,ENSP00000258145,0
MDM2,4193,164785,ENSG00000135679,ENSP00000258149,0
BCO1,53630,605748,ENSG00000135697,ENSP00000258168,0
MPHOSPH6,10200,605500,ENSG00000135698,ENSP00000258169,0
TMEM231,79583,614949,ENSG00000205084,ENSP00000258173,1
DYNC1LI2,1783,611406,ENSG00000135720,ENSP00000258198,0
FBXL8,55336,609077,ENSG00000135722,ENSP00000258200,0
FHOD1,29109,606881,ENSG00000135723,ENSP00000258201,0
STX6,10228,603944,ENSG00000135823,ENSP00000258301,0
RGS8,85397,607189,ENSG00000135824,ENSP00000258302,0
NPL,80896,611412,ENSG00000135838,ENSP00000258317,0
LAMC1,3915,150290,ENSG00000135862,ENSP00000258341,0
SP110,3431,604457,ENSG00000135899,ENSP00000258381,0
MRPL44,65080,611849,ENSG00000135900,ENSP00000258383,0
CHRND,1144,100720,ENSG00000135902,ENSP00000258385,0
DOCK10,55619,611518,ENSG00000135905,ENSP00000258390,1
HTR2B,3357,601122,ENSG00000135914,ENSP00000258400,0
SLC19A3,80704,606152,ENSG00000135917,ENSP00000258403,0
WNT10A,80326,606268,ENSG00000135925,ENSP00000258411,0
CYP27A1,1593,606530,ENSG00000135929,ENSP00000258415,1
EIF4E2,9470,605895,ENSG00000135930,ENSP00000258416,0
CAB39,51719,612174,ENSG00000135932,ENSP00000258418,0
COX5B,1329,123866,ENSG00000135940,ENSP00000258424,0
REV1,51455,606134,ENSG00000135945,ENSP00000258428,0
TMEM127,55654,613403,ENSG00000135956,ENSP00000258439,0
EDAR,10913,604095,ENSG00000135960,ENSP00000258443,0
MRPS9,64965,611975,ENSG00000135972,ENSP00000258455,0
GPR45,11250,604838,ENSG00000135973,ENSP00000258456,0
EPC2,26122,611000,ENSG00000135999,ENSP00000258484,1
ALDH1L2,160428,613584,ENSG00000136010,ENSP00000258494,0
USP44,84101,610993,ENSG00000136014,ENSP00000258499,0
PLXNC1,10154,604259,ENSG00000136040,ENSP00000258526,0
DRAM1,55332,610776,ENSG00000136048,ENSP00000258534,0
SLC41A2,84102,610802,ENSG00000136052,ENSP00000258538,0
THSD1,55901,616821,ENSG00000136114,ENSP00000258613,0
MED4,29079,605718,ENSG00000136146,ENSP00000258648,0
COG3,83548,606975,ENSG00000136152,ENSP00000258654,0
NUDT15,55270,615792,ENSG00000136159,ENSP00000258662,0
SPDYE1,285955,617623,ENSG00000136206,ENSP00000258704,0
IGF2BP3,10643,608259,ENSG00000136231,ENSP00000258729,0
KDELR2,11014,609024,ENSG00000136240,ENSP00000258739,0
TBRG4,9238,611325,ENSG00000136270,ENSP00000258770,0
DDX56,54606,608023,ENSG00000136271,ENSP00000258772,0
HUS1,3364,603760,ENSG00000136273,ENSP00000258774,0
MYO1G,64005,600642,ENSG00000136286,ENSP00000258787,0
